"term","type","iri","label","definition","dpvtype","subclassof","hasbroader","scopenote","created","modified","vocab","namespace"
"AF-ZAB","class","https://w3id.org/dpv/loc#AF-ZAB","Zabul Province","Concept representing region Zabul Province in country Afghanistan","https://w3id.org/dpv#Region","","https://w3id.org/dpv/loc#AF","","2024-08-03","","loc","https://w3id.org/dpv/loc"
"AG","class","https://w3id.org/dpv/loc#AG","Antigua and Barbuda","Concept representing Country of Antigua and Barbuda","https://w3id.org/dpv#Country","","https://w3id.org/dpv#Country","","2022-03-30","","loc","https://w3id.org/dpv/loc"
"AG-03","class","https://w3id.org/dpv/loc#AG-03","Saint George Parish, Antigua and Barbuda","Concept representing region Saint George Parish, Antigua and Barbuda in country Antigua and Barbuda","https://w3id.org/dpv#Region","","https://w3id.org/dpv/loc#AG","","2024-08-03","","loc","https://w3id.org/dpv/loc"
"AG-04","class","https://w3id.org/dpv/loc#AG-04","Saint John Parish, Antigua and Barbuda","Concept representing region Saint John Parish, Antigua and Barbuda in country Antigua and Barbuda","https://w3id.org/dpv#Region","","https://w3id.org/dpv/loc#AG","","2024-08-03","","loc","https://w3id.org/dpv/loc"
"AG-05","class","https://w3id.org/dpv/loc#AG-05","Saint Mary Parish, Antigua and Barbuda","Concept representing region Saint Mary Parish, Antigua and Barbuda in country Antigua and Barbuda","https://w3id.org/dpv#Region","","https://w3id.org/dpv/loc#AG","","2024-08-03","","loc","https://w3id.org/dpv/loc"
"AG-06","class","https://w3id.org/dpv/loc#AG-06","Saint Paul Parish, Antigua and Barbuda","Concept representing region Saint Paul Parish, Antigua and Barbuda in country Antigua and Barbuda","https://w3id.org/dpv#Region","","https://w3id.org/dpv/loc#AG","","2024-08-03","","loc","https://w3id.org/dpv/loc"
"AG-07","class","https://w3id.org/dpv/loc#AG-07","Saint Peter Parish, Antigua and Barbuda","Concept representing region Saint Peter Parish, Antigua and Barbuda in country Antigua and Barbuda","https://w3id.org/dpv#Region","","https://w3id.org/dpv/loc#AG","","2024-08-03","","loc","https://w3id.org/dpv/loc"
"AG-08","class","https://w3id.org/dpv/loc#AG-08","Saint Philip, Antigua and Barbuda","Concept representing region Saint Philip, Antigua and Barbuda in country Antigua and Barbuda","https://w3id.org/dpv#Region","","https://w3id.org/dpv/loc#AG","","2024-08-03","","loc","https://w3id.org/dpv/loc"
"AG-10","class","https://w3id.org/dpv/loc#AG-10","Barbuda","Concept representing region Barbuda in country Antigua and Barbuda","https://w3id.org/dpv#Region","","https://w3id.org/dpv/loc#AG","","2024-08-03","","loc","https://w3id.org/dpv/loc"
"AG-11","class","https://w3id.org/dpv/loc#AG-11","Redonda","Concept representing region Redonda in country Antigua and Barbuda","https://w3id.org/dpv#Region","","https://w3id.org/dpv/loc#AG","","2024-08-03","","loc","https://w3id.org/dpv/loc"
"AI","class","https://w3id.org/dpv/loc#AI","Anguilla","Concept representing Country of Anguilla","https://w3id.org/dpv#Country","","https://w3id.org/dpv#Country","","2022-03-30","","loc","https://w3id.org/dpv/loc"
"AL","class","https://w3id.org/dpv/loc#AL","Albania","Concept representing Country of Albania","https://w3id.org/dpv#Country","","https://w3id.org/dpv#Country","","2022-03-30","","loc","https://w3id.org/dpv/loc"
"AL-01","class","https://w3id.org/dpv/loc#AL-01","Berat County","Concept representing region Berat County in country Albania","https://w3id.org/dpv#Region","","https://w3id.org/dpv/loc#AL","","2024-08-03","","loc","https://w3id.org/dpv/loc"
"AL-02","class","https://w3id.org/dpv/loc#AL-02","Durrës County","Concept representing region Durrës County in country Albania","https://w3id.org/dpv#Region","","https://w3id.org/dpv/loc#AL","","2024-08-03","","loc","https://w3id.org/dpv/loc"
