"Term","Label","Description","ParentTerm","ParentType","Value","RelatedTerms","Relation","Comment","Source","Created","Modified","Status","Contributors","Resolution","","","","","","","","","","","","","","",""
"SmallScaleOfDataSubjects","SmallScaleOfDataSubjects","Scale of data subjects considered small or limited within the context","dpv:DataSubjectScale","a","","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"SporadicScaleOfDataSubjects","SporadicScaleOfDataSubjects","Scale of data subjects considered sporadic or sparse within the context","dpv:DataSubjectScale","a","","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"SingularScaleOfDataSubjects","SingularScaleOfDataSubjects","Scale of data subjects considered singular i.e. a specific data subject","dpv:DataSubjectScale","a","","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"GeographicCoverage","Geographic Coverage","Indicate of scale in terms of geographic coverage","dpv:Scale","sc","","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit, Georg P Krog, Paul Ryan","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"GlobalScale","GlobalScale","Geographic coverage spanning the entire globe","dpv:GeographicCoverage","a","","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"NearlyGlobalScale","NearlyGlobalScale","Geographic coverage nearly spanning the entire globe","dpv:GeographicCoverage","a","","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"MultiNationalScale","MultiNationalScale","Geographic coverage spanning multiple nations","dpv:GeographicCoverage","a","","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"NationalScale","NationalScale","Geographic coverage spanning a nation","dpv:GeographicCoverage","a","","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"RegionalScale","RegionalScale","Geographic coverage spanning a specific region or regions","dpv:GeographicCoverage","a","","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"LocalityScale","LocalityScale","Geographic coverage spanning a specific locality","dpv:GeographicCoverage","a","","","","For example, geographic scale of a city or an area within a city","","2022-06-15","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"LocalEnvironmentScale","LocalEnvironmentScale","Geographic coverage spanning a specific environment within the locality","dpv:GeographicCoverage","a","","","","For example, geographic scale of an event take place in a specific building or room","","2022-06-15","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","",""
