"Term","Label","Description","ParentTerm","ParentType","Value","RelatedTerms","Relation","Comment","Source","Created","Modified","Status","Contributors","Resolution","","","","","","","","","","","","",""
"Contact","Contact","Information about contacts or used for contacting e.g. email address or phone number","dpv-pd:Tracking","sc","","svd:Physical","","","(EnterPrivacy Categories of Personal Information, https://enterprivacy.com/wp-content/uploads/2018/09/Categories-of-Personal-Information.pdf)","2019-06-04","","accepted","Elmar Kiesling; Harshvardhan J. Pandit, Fajar Ekaputra","https://www.w3.org/2019/06/04-dpvcg-minutes.html","","","","","","","","","","","","",""
"Country","Country","Information about country e.g. residence, travel.","dpv-pd:Location","sc","","","","","(EnterPrivacy Categories of Personal Information, https://enterprivacy.com/wp-content/uploads/2018/09/Categories-of-Personal-Information.pdf)","2019-06-04","","accepted","Elmar Kiesling; Harshvardhan J. Pandit, Fajar Ekaputra","https://www.w3.org/2019/06/04-dpvcg-minutes.html","","","","","","","","","","","","",""
"Credit","Credit","Information about reputation with regards to money","dpv-pd:Transactional","sc","","","","","(EnterPrivacy Categories of Personal Information, https://enterprivacy.com/wp-content/uploads/2018/09/Categories-of-Personal-Information.pdf)","2019-06-04","","accepted","Elmar Kiesling; Harshvardhan J. Pandit, Fajar Ekaputra","https://www.w3.org/2019/06/04-dpvcg-minutes.html","","","","","","","","","","","","",""
"CreditCapacity","Credit Capacity","Information about credit capacity.","dpv-pd:Credit","sc","","","","","(EnterPrivacy Categories of Personal Information, https://enterprivacy.com/wp-content/uploads/2018/09/Categories-of-Personal-Information.pdf)","2019-06-04","","accepted","Elmar Kiesling; Harshvardhan J. Pandit, Fajar Ekaputra","https://www.w3.org/2019/06/04-dpvcg-minutes.html","","","","","","","","","","","","",""
"CreditCardNumber","Credit Card Number","Information about credit card number","dpv-pd:PaymentCardNumber","sc","","","","","(EnterPrivacy Categories of Personal Information, https://enterprivacy.com/wp-content/uploads/2018/09/Categories-of-Personal-Information.pdf)","2019-06-04","","accepted","Elmar Kiesling; Harshvardhan J. Pandit, Fajar Ekaputra","https://www.w3.org/2019/06/04-dpvcg-minutes.html","","","","","","","","","","","","",""
"CreditRecord","Credit Record","Information about credit record.","dpv-pd:Credit","sc","","","","","(EnterPrivacy Categories of Personal Information, https://enterprivacy.com/wp-content/uploads/2018/09/Categories-of-Personal-Information.pdf)","2019-06-04","","accepted","Elmar Kiesling; Harshvardhan J. Pandit, Fajar Ekaputra","https://www.w3.org/2019/06/04-dpvcg-minutes.html","","","","","","","","","","","","",""
"CreditScore","Credit Score","Information about credit score.","dpv-pd:CreditWorthiness","sc","","","","","(EnterPrivacy Categories of Personal Information, https://enterprivacy.com/wp-content/uploads/2018/09/Categories-of-Personal-Information.pdf)","2019-06-04","","accepted","Elmar Kiesling; Harshvardhan J. Pandit, Fajar Ekaputra","https://www.w3.org/2019/06/04-dpvcg-minutes.html","","","","","","","","","","","","",""
"CreditStanding","Credit Standing","Information about credit standing.","dpv-pd:Credit","sc","","","","","(EnterPrivacy Categories of Personal Information, https://enterprivacy.com/wp-content/uploads/2018/09/Categories-of-Personal-Information.pdf)","2019-06-04","","accepted","Elmar Kiesling; Harshvardhan J. Pandit, Fajar Ekaputra","https://www.w3.org/2019/06/04-dpvcg-minutes.html","","","","","","","","","","","","",""
"CreditWorthiness","Credit Worthiness","Information about credit worthiness.","dpv-pd:Credit","sc","","","","","(EnterPrivacy Categories of Personal Information, https://enterprivacy.com/wp-content/uploads/2018/09/Categories-of-Personal-Information.pdf)","2019-06-04","","accepted","Elmar Kiesling; Harshvardhan J. Pandit, Fajar Ekaputra","https://www.w3.org/2019/06/04-dpvcg-minutes.html","","","","","","","","","","","","",""
"Criminal","Criminal","Information about criminal activity e.g. criminal convictions or jail time","dpv-pd:Social","sc","","svd:Judicial","","","(EnterPrivacy Categories of Personal Information, https://enterprivacy.com/wp-content/uploads/2018/09/Categories-of-Personal-Information.pdf)","2019-06-04","","accepted","Elmar Kiesling; Harshvardhan J. Pandit, Fajar Ekaputra","https://www.w3.org/2019/06/04-dpvcg-minutes.html","","","","","","","","","","","","",""
