"Term Concepts in DPV this extends dpv:DataSubjectRight ","Label ","Description Data Subject Right ","ParentTerm dpv:Concept ","ParentType ","Value ","RelatedTerms ","Relation ","Comment ","Source ","Created ","Modified ","Status ","Contributors ","Resolution ","","","","","","","","","","","","","","",""
"A24-RightsOfChild","A24 Rights Of Child","","rights-eu:T3-Equality,rights-eu:EUFundamentalRights","a","","","","","(Charter of Fundamental Rights of the European Union,http://data.europa.eu/eli/treaty/char_2012/oj)","2022-07-19","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/22-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"A25-RightsOfElderly","A25 Rights Of Elderly","","rights-eu:T3-Equality,rights-eu:EUFundamentalRights","a","","","","","(Charter of Fundamental Rights of the European Union,http://data.europa.eu/eli/treaty/char_2012/oj)","2022-07-20","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/22-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"A26-IntegrationOfPersonsWithDisabilities","A26 Integration Of Persons With Disabilities","","rights-eu:T3-Equality,rights-eu:EUFundamentalRights","a","","","","","(Charter of Fundamental Rights of the European Union,http://data.europa.eu/eli/treaty/char_2012/oj)","2022-07-21","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/22-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"T4-Solidarity","T4 Solidarity","","rights-eu:EUFundamentalRights","sc","","","","","(Charter of Fundamental Rights of the European Union,http://data.europa.eu/eli/treaty/char_2012/oj)","2022-07-22","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/22-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"A27-WorkersRightToInformationConsultation","A27 Workers Right To Information Consultation","","rights-eu:T4-Solidarity,rights-eu:EUFundamentalRights","a","","","","","(Charter of Fundamental Rights of the European Union,http://data.europa.eu/eli/treaty/char_2012/oj)","2022-07-23","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/22-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"A28-RightOfCollectiveBargainingAction","A28 Right Of Collective Bargaining Action","","rights-eu:T4-Solidarity,rights-eu:EUFundamentalRights","a","","","","","(Charter of Fundamental Rights of the European Union,http://data.europa.eu/eli/treaty/char_2012/oj)","2022-07-24","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/22-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"A29-RightOfAccessToPlacementServices","A29 Right Of Access To Placement Services","","rights-eu:T4-Solidarity,rights-eu:EUFundamentalRights","a","","","","","(Charter of Fundamental Rights of the European Union,http://data.europa.eu/eli/treaty/char_2012/oj)","2022-07-25","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/22-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"A30-ProtectionUnjustifiedDismissal","A30 Protection Unjustified Dismissal","","rights-eu:T4-Solidarity,rights-eu:EUFundamentalRights","a","","","","","(Charter of Fundamental Rights of the European Union,http://data.europa.eu/eli/treaty/char_2012/oj)","2022-07-26","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/22-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"A31-FairJustWorkingConditions","A31 Fair Just Working Conditions","","rights-eu:T4-Solidarity,rights-eu:EUFundamentalRights","a","","","","","(Charter of Fundamental Rights of the European Union,http://data.europa.eu/eli/treaty/char_2012/oj)","2022-07-27","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/22-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"A32-ProhibitionOfChildLabourProtectionofYoungAtWork","A32 Prohibition Of Child Labour Protectionof Young At Work","","rights-eu:T4-Solidarity,rights-eu:EUFundamentalRights","a","","","","","(Charter of Fundamental Rights of the European Union,http://data.europa.eu/eli/treaty/char_2012/oj)","2022-07-28","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/22-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"A33-FamilyProfessionalLife","A33 Family Professional Life","","rights-eu:T4-Solidarity,rights-eu:EUFundamentalRights","a","","","","","(Charter of Fundamental Rights of the European Union,http://data.europa.eu/eli/treaty/char_2012/oj)","2022-07-29","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/22-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"A34-SocialSecuritySocialAssistance","A34 Social Security Social Assistance","","rights-eu:T4-Solidarity,rights-eu:EUFundamentalRights","a","","","","","(Charter of Fundamental Rights of the European Union,http://data.europa.eu/eli/treaty/char_2012/oj)","2022-07-30","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/22-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"A35-Healthcare","A35 Healthcare","","rights-eu:T4-Solidarity,rights-eu:EUFundamentalRights","a","","","","","(Charter of Fundamental Rights of the European Union,http://data.europa.eu/eli/treaty/char_2012/oj)","2022-07-31","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/22-dpvcg-minutes.html","","","","","","","","","","","","","","",""
