Term,Label,Definition,ParentTerm,ParentType,Value,RelatedTerms,Relation,Usage,Source,Created,Modified,Status,Contributors,Resolution
Concepts in DPV this extends,,,,,,,,,,,,,,
dpv:DataSubjectRight,,Data Subject Right,dpv:Concept,,,,,,,,,,,

A39-RightToVoteStandAsCanditateEUParliament,A39 Right To Vote Stand As Canditate E U Parliament,,"eu-rights:T5-CitizensRights,eu-rights:EUFundamentalRights",dpv:Right,,,,,"(Charter of Fundamental Rights of the European Union,http://data.europa.eu/eli/treaty/char_2012/oj)",2022-08-05,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/06/22-dpvcg-minutes.html,,,,,,,,,,,,,,,
A40-RightToVoteStandAsCandidateMunicipalElections,A40 Right To Vote Stand As Candidate Municipal Elections,,"eu-rights:T5-CitizensRights,eu-rights:EUFundamentalRights",dpv:Right,,,,,"(Charter of Fundamental Rights of the European Union,http://data.europa.eu/eli/treaty/char_2012/oj)",2022-08-06,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/06/22-dpvcg-minutes.html,,,,,,,,,,,,,,,
A41-RightToGoodAdministration,A41 Right To Good Administration,,"eu-rights:T5-CitizensRights,eu-rights:EUFundamentalRights",dpv:Right,,,,,"(Charter of Fundamental Rights of the European Union,http://data.europa.eu/eli/treaty/char_2012/oj)",2022-08-07,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/06/22-dpvcg-minutes.html,,,,,,,,,,,,,,,
A42-RightToAccessToDocuments,A42 Right To Access To Documents,,"eu-rights:T5-CitizensRights,eu-rights:EUFundamentalRights",dpv:Right,,,,,"(Charter of Fundamental Rights of the European Union,http://data.europa.eu/eli/treaty/char_2012/oj)",2022-08-08,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/06/22-dpvcg-minutes.html,,,,,,,,,,,,,,,
A43-EuropeanOmbudsman,A43 European Ombudsman,,"eu-rights:T5-CitizensRights,eu-rights:EUFundamentalRights",dpv:Right,,,,,"(Charter of Fundamental Rights of the European Union,http://data.europa.eu/eli/treaty/char_2012/oj)",2022-08-09,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/06/22-dpvcg-minutes.html,,,,,,,,,,,,,,,
A44-RightToPetition,A44 Right To Petition,,"eu-rights:T5-CitizensRights,eu-rights:EUFundamentalRights",dpv:Right,,,,,"(Charter of Fundamental Rights of the European Union,http://data.europa.eu/eli/treaty/char_2012/oj)",2022-08-10,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/06/22-dpvcg-minutes.html,,,,,,,,,,,,,,,
A45-FreedomOfMovementAndResidence,A45 Freedom Of Movement And Residence,,"eu-rights:T5-CitizensRights,eu-rights:EUFundamentalRights",dpv:Right,,,,,"(Charter of Fundamental Rights of the European Union,http://data.europa.eu/eli/treaty/char_2012/oj)",2022-08-11,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/06/22-dpvcg-minutes.html,,,,,,,,,,,,,,,
A46-DiplomaticConsularProtection,A46 Diplomatic Consular Protection,,"eu-rights:T5-CitizensRights,eu-rights:EUFundamentalRights",dpv:Right,,,,,"(Charter of Fundamental Rights of the European Union,http://data.europa.eu/eli/treaty/char_2012/oj)",2022-08-12,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/06/22-dpvcg-minutes.html,,,,,,,,,,,,,,,
T6-Justice,T6 Justice,,eu-rights:EUFundamentalRights,dpv:Right,,,,,"(Charter of Fundamental Rights of the European Union,http://data.europa.eu/eli/treaty/char_2012/oj)",2022-08-13,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/06/22-dpvcg-minutes.html,,,,,,,,,,,,,,,
A47-RightToEffectiveRemedyFairTrial,A47 Right To Effective Remedy Fair Trial,,"eu-rights:T6-Justice,eu-rights:EUFundamentalRights",dpv:Right,,,,,"(Charter of Fundamental Rights of the European Union,http://data.europa.eu/eli/treaty/char_2012/oj)",2022-08-14,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/06/22-dpvcg-minutes.html,,,,,,,,,,,,,,,
A48-PresumptionOfInnocenceRightOfDefence,A48 Presumption Of Innocence Right Of Defence,,"eu-rights:T6-Justice,eu-rights:EUFundamentalRights",dpv:Right,,,,,"(Charter of Fundamental Rights of the European Union,http://data.europa.eu/eli/treaty/char_2012/oj)",2022-08-15,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/06/22-dpvcg-minutes.html,,,,,,,,,,,,,,,
A49-PrinciplesOfLegalityProportionalityCriminalOffencesPenalties,A49 Principles Of Legality Proportionality Criminal Offences Penalties,,"eu-rights:T6-Justice,eu-rights:EUFundamentalRights",dpv:Right,,,,,"(Charter of Fundamental Rights of the European Union,http://data.europa.eu/eli/treaty/char_2012/oj)",2022-08-16,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/06/22-dpvcg-minutes.html,,,,,,,,,,,,,,,
A50-RightNotBeTriedPunishedTwiceForSameCriminalOffence,A50 Right Not Be Tried Punished Twice For Same Criminal Offence,,"eu-rights:T6-Justice,eu-rights:EUFundamentalRights",dpv:Right,,,,,"(Charter of Fundamental Rights of the European Union,http://data.europa.eu/eli/treaty/char_2012/oj)",2022-08-17,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/06/22-dpvcg-minutes.html,,,,,,,,,,,,,,,
T7-InterpretationAndApplication,T7 Interpretation And Application,,eu-rights:EUFundamentalRights,dpv:Right,,,,,"(Charter of Fundamental Rights of the European Union,http://data.europa.eu/eli/treaty/char_2012/oj)",2022-08-18,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/06/22-dpvcg-minutes.html,,,,,,,,,,,,,,,
A51-FieldOfApplication,A51 Field Of Application,,"eu-rights:T7-InterpretationAndApplication,eu-rights:EUFundamentalRights",dpv:Right,,,,,"(Charter of Fundamental Rights of the European Union,http://data.europa.eu/eli/treaty/char_2012/oj)",2022-08-19,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/06/22-dpvcg-minutes.html,,,,,,,,,,,,,,,
A52-ScopeInterpretationOfRightsPrinciples,A52 Scope Interpretation Of Rights Principles,,"eu-rights:T7-InterpretationAndApplication,eu-rights:EUFundamentalRights",dpv:Right,,,,,"(Charter of Fundamental Rights of the European Union,http://data.europa.eu/eli/treaty/char_2012/oj)",2022-08-20,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/06/22-dpvcg-minutes.html,,,,,,,,,,,,,,,
A53-LevelOfProtection,A53 Level Of Protection,,"eu-rights:T7-InterpretationAndApplication,eu-rights:EUFundamentalRights",dpv:Right,,,,,"(Charter of Fundamental Rights of the European Union,http://data.europa.eu/eli/treaty/char_2012/oj)",2022-08-21,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/06/22-dpvcg-minutes.html,,,,,,,,,,,,,,,
