Term,Label,Definition,ParentTerm,ParentType,Value,RelatedTerms,Relation,Usage,Source,Created,Modified,Status,Contributors,Resolution
Capability,,,,,,,,,,,,,,
SensitiveAttributeInference,Sensitive Attribute Inference,The capability of inferring sensitive or protected attributes or characteristics,,ai:Capability,,,,,,,,,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
Proposed For v2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ImageSegmentation,Image Segmentation,,"ai:ComputerVision, ai:Segmentation",ai:Capability,,,,,EIT report,,,,,,,,,,,,,,,,,,,,,,
ObjectDetection,Object Detection,,ai:ComputerVision,ai:Capability,,,,,EIT report,,,,,
ObjectTracking,Object Tracking,,ai:ComputerVision,ai:Capability,,,,,EIT report,,,,,
ImageClassification,Image Classification,,ai:ComputerVision,ai:Capability,,,,,EIT report,,,,,
3DReconstruction,3D Reconstruction,,ai:ComputerVision,ai:Capability,,,,,EIT report,,,,,
MusicalKnowledge,Musical Knowledge,,ai:AudioCapability,ai:Capability,,,,,EIT report,,,,,
SoundSimilarityAssessment,Sound Similarity Assessment,,ai:AudioCapability,ai:Capability,,,,,EIT report,,,,,
AudioBasedSentimentAnalysis,Audio-Based Sentiment Analysis,,"ai:AudioCapability, ai:SentimentAnalysis",ai:Capability,,,,,,,,,,
TextClassification,Text Classification,,ai:LanguageCapability,ai:Capability,,,,,EIT report,,,,,
ConversationalSystem,Conversational System,,,,,,,,EIT report,,,,,
RoboticsCapability,Robotics Capability,,ai:Capability,,,,,,EIT report,,,,,
RobotMotionPlanning,Robot Motion Planning,,ai:RoboticsCapability,ai:Capability,,,,,EIT report,,,,,
HDMapping ,HD Mapping ,,ai:RoboticsCapability,ai:Capability,,,,,EIT report,,,,,
HDLocalisation,HD Localisation,,ai:RoboticsCapability,ai:Capability,,,,,EIT report,,,,,
ControlOptimisation,Control Optimisation,,ai:RoboticsCapability,ai:Capability,,,,,EIT report,,,,,
CollaborativeRobotics,Collaborative Robotics,,?:Robotics,,,,,,EIT report,,,,,
HumanRobotInteraction,Human Robot Interaction,,?:Robotics,,,,,,EIT report,,,,,
AdvancedDrones,Advanced Drones,,?:Robotics,,,,,,EIT report,,,,,
Mobile Robotics,Mobile Robotics,,?:Robotics,,,,,,EIT report,,,,,
UserAdaptiveControlAutomation,User-Adaptive Control Automation,,ai:RoboticsCapability,ai:Capability,,,,,EIT report,,,,,
ForecastingCapability,Forecasting Capability,,ai:Capability,,,,,,EIT report,,,,,
TimeSeriesForecasting,Time Series Forecasting,,ai:ForecastingCapability,ai:Capability,,,,,EIT report,,,,,
DependencyBasedForecasting,Dependency-Based Forecasting,,ai:ForecastingCapability,ai:Capability,,,,,EIT report,,,,,
DiscoveryCapability,Discovery Capability,,ai:Capability,,,,,,EIT report,,,,,
Segmentation,Segmentation,,ai:DiscoveryCapability,ai:Capability,,,,,EIT report,,,,,
Clustering,Clustering,,ai:DiscoveryCapability,ai:Capability,,,,,EIT report,,,,,
AnomalyDetection,Anomaly Detection,,ai:DiscoveryCapability,ai:Capability,,,,,EIT report,,,,,
OutlierDetection,Outlier Detection,,ai:DiscoveryCapability,ai:Capability,,,,,,,,,,
CorrelationAnalysis,Correlation Analysis,,ai:DiscoveryCapability,ai:Capability,,,,,EIT report,,,,,
CausalInference,Causal Inference,,ai:DiscoveryCapability,ai:Capability,,,,,EIT report,,,,,
AssociationAnalysis,Association Analysis,,ai:DiscoveryCapability,ai:Capability,,,,,EIT report,,,,,
PlanningCapability,Planning Capability,,ai:Capability,,,,,,EIT report,,,,,
CooperativeMultiAgentSystem,Cooperative Multi-Agent System,,Agent ?,,,,,,EIT report,,,,,
PolicyDevelopmentAgent,Policy Development Agent,,Agent ?,,,,,,EIT report,,,,,
StrategicAgent,Strategic Agent,,Agent ?,,,,,,EIT report,,,,,
LogisticsPlanningCapability,Logistics Planning Capability,,ai:PlanningCapability,ai:Capability,,,,,EIT report,,,,,
SchedulingCapability,Scheduling Capability,,ai:PlanningCapability,ai:Capability,,,,,EIT report,,,,,
ImageManipulation,Image Manipulation,,ai:ContentGeneration,ai:Capability,,,,,EIT report,,,,,
Style Transfer,StyleTransfer,,ai:ContentGeneration,ai:Capability,,,,,EIT report,,,,,
Text Generation,Text Generation,,,,,,,,EIT report,,,,,
