Term,Label,Definition,ParentTerm,ParentType,Value,RelatedTerms,Relation,Usage,Source,Created,Modified,Status,Contributors,Resolution
Specific instances of technologies,Specific instances of technologies,,,,,,,,,,,,,
Software,Software,Virtual parts or components of the technology such as programs and data,,dpv:Technology,,,,,,2022-06-15,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
Device,Device,Device or computing device,"tech:Hardware,dpv:ProcessingLocation,dpv:LocalLocation","dpv:Technology,dpv:Location",,,,,,2022-06-15,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
PersonalComputer,Personal Computer (PC),A computing device intended for individual use,"tech:Device,dpv:ProcessingLocation,dpv:LocalLocation","dpv:Technology,dpv:Location",,,,,,2022-06-15,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
LaptopPC,Laptop PC,A portal personal computer,"tech:PersonalComputer,dpv:ProcessingLocation,dpv:LocalLocation","dpv:Technology,dpv:Location",,,,,,2022-06-15,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
DesktopPC,Desktop PC,A non-portable or fixed personal computer,"tech:PersonalComputer,dpv:ProcessingLocation,dpv:LocalLocation","dpv:Technology,dpv:Location",,,,,,2022-06-15,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
Telephone,Telephone,Telephone,tech:Device,dpv:Technology,,,,,,2022-06-15,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
MobilePhone,Mobile Phone,Mobile telephone,"tech:Telephone,dpv:ProcessingLocation,dpv:LocalLocation","dpv:Technology,dpv:Location",,,,,,2022-06-15,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
Smartphone,Smartphone,A combination of a mobile phone with computing capabilities similar to a PC,"tech:MobilePhone,tech:PersonalComputer,dpv:ProcessingLocation,dpv:LocalLocation","dpv:Technology,dpv:Location",,,,,,2022-06-15,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
IoT,Internet of Things (IoT),"IoT is the infrastructure of interconnected entities, people, systems and information resources together with services that process and react to information from the physical world and virtual world","tech:Hardware,dpv:ProcessingLocation,dpv:LocalLocation","dpv:Technology,dpv:Location",,,,,ISO/IEC 22989:2022,2024-12-01,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,
IoTDevice,IoT Device,An entity of an IoT system that interacts and communicates with the physical world through sensing or actuating,"tech:IoT,tech:Device,dpv:ProcessingLocation,dpv:LocalLocation","dpv:Technology,dpv:Location",,,,,ISO/IEC 22989:2022,2024-12-01,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,
IoTSystem,IoT System,A specific system that is an implementation or application of the IoT framework and contains interconnected IoT devices and their communication network along with other hardware and software required for providing functionalities,"tech:IoT,tech:System,dpv:ProcessingLocation,dpv:LocalLocation","dpv:Technology,dpv:Location",,,,,ISO/IEC 22989:2022,2024-12-01,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,
Model,Model,"A simplified representation or abstraction of a system, process, or concept",,dpv:Technology,,,,,,2024-12-01,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,
Service,Service,The carrying out of a specific task or set of tasks as a service,,dpv:Technology,,,,"This concept is distinct from dpv:Service as it represents the notion of a technical service whereas dpv:Service can also refer to organisational, legal, social, and other meanings of service",,2024-12-01,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
Algorithm,Algorithm,A step-by-step set of instructions used to solve a problem or perform a computation,,dpv:Technology,,,,,,2024-12-01,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,
System,System,A collection of components that interact to achieve a specific goal or function,,dpv:Technology,,,,,,2024-12-01,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,
Component,Component,A self-contained part of a system that performs a specific function and interacts with other components,,dpv:Technology,,,,,,2024-12-01,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,
CloudService,Cloud Service Provision,"A remotely accessible service delivered over the internet for providing resources, software, or infrastructure",,dpv:Technology,,,,,,2024-12-01,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
Infrastructure,Infrastructure as a Service (IaaS) Provision,"The foundational hardware, software, and other resources to support the operation of systems or services",,dpv:Technology,,,,,,2024-12-01,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,
API,API,A set of rules and protocols to communicate and exchange data between applications,tech:Algorithm,dpv:Technology,,,,,,2024-12-01,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,
Platform,Platform,"A digital environment that provides tools, infrastructure, and services for developing, deploying, and running applications",,dpv:Technology,,,,,,2024-12-01,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,
IntegratedCircuit,IntegratedCircuit,A integrated electronic chip containing interconnected components to perform specific functions,tech:Hardware,dpv:Technology,,,,,,2024-12-01,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,
ApplicationSpecificIntegratedCircuit,ApplicationSpecificIntegratedCircuit,A custom-designed integrated circuit optimised for a specific task,tech:IntegratedCircuit,dpv:Technology,,,,,,2024-12-01,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,
SoftwareLibrary,SoftwareLibrary,A collection of pre-built and reusable functions for use in development and management of software,tech:Software,dpv:Technology,,,,,,2024-12-01,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,
SoftwareFramework,SoftwareFramework,An opinionated collection of functions and architecture design choices for building applications,tech:Software,dpv:Technology,,,,,,2024-12-01,,accepted,"Delaram Golpayegani, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,
SoftwareAgent,Software Agent,A software that acts on behalf of another Entity or technology,"tech:Software,dpv:Agent",dpv:Technology,,,,,,2025-10-28,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
UserAgent,User-Agent,A software agent that represents a person (i.e. a human),tech:SoftwareAgent,dpv:Technology,,,,"User Agent as defined here specifically represents software agents that represent humans, whether directly or indirectly, based on the well-defined use of this term in Web interactions. Software that is not representing a human but which acts or declares itself as a user agent is termed as 'user agent spoofing' (see https://developer.mozilla.org/en-US/docs/Glossary/User_agent)",,2025-10-28,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
WebScraper,Web Scraper,"Software that extracts data from websites to implement collection practices colloquially called ""web scraping""",tech:Software,dpv:Technology,,,,,,2026-02-09,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,
