Term,Label,Definition,ParentTerm,ParentType,Value,HumanDescription,RelatedTerms,Relation,Usage,Source,Created,Modified,Status,Contributors,Resolution,,,,,,,,,,,,,,,
AgentDisallowsRequests,Agent Disallows Requests,Term that indicates the Agent should not allow any requests to be made,,ieee-7012:AgentRequestBehaviour,,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
AgentNegotiationBehaviour,Agent Negotiation Behaviour,Term that indicates the behaviour of the Agent in relation to negotiations,ieee-7012:AgentBehaviour,sc,,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
AgentAllowsNegotiation,Agent Allows Negotiation,Term that indicates the Agent should allow negotiations,,ieee-7012:AgentNegotiationBehaviour,,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
AgentAllowsNegotiationOnlyKnownParty,Agent Allows Negotiation Only Known Party,Term that indicates the Agent should allow negotiations but only from known parties,ieee-7012:AgentAllowsNegotiation,ieee-7012:AgentNegotiationBehaviour,,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
AgentAllowsNegotiationOnlyPriorAgreementParty,Agent Allows Negotiation Only Prior Agreement Party,Term that indicates the Agent should allow negotiations but only from known parties with whom an agreement was established in the past,ieee-7012:AgentAllowsNegotiationOnlyKnownParty,ieee-7012:AgentNegotiationBehaviour,,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
AgentDisallowsNegotiation,Agent Disallows Negotiation,Term that indicates the Agent should not allow any negotiations,,ieee-7012:AgentNegotiationBehaviour,,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
PreferenceApplicability,Privacy Preference Applicability,Term that indicates the applicability of Privacy Preference(s),dpv:ContractualClause,sc,,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
PreferenceAlwaysApplies,Preference Always Applies,Term that indicates the privacy preference always applies in all contexts and should always be used in agreements and negotiations,,ieee-7012:PreferenceApplicability,,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
PreferenceNeverApplies,Preference Never Applies,Term that indicates the privacy preference never applies in any context and should never be used in agreements or negotiations,,ieee-7012:PreferenceApplicability,,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
PreferenceConditionallyApplies,Preference Conditionally Applies,Term that indicates the privacy preference conditionally applies i.e. it should only be used in agreements and negotiations if the associated condition is satisfied within the context,,ieee-7012:PreferenceApplicability,,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
PortabilityTerm,Portability Term,Term that indicates portability of data from service provider to individual,dpv:ContractualClause,sc,,"Data portability means that you are entitled to ask organisations that hold records about you (your personal data) to be sent in a modern, useful format either to you directly, or to another organisation/ app that you nominate. Examples of that might be your bank transactions (via Open Banking or similar), your home energy use, your vehicle use and many more.",,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
PortabilityRequired,Portability Required,Term that indicates data portability is required to be provided,,"ieee-7012:PortabilityTerm,dpv:Obligation",,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
PortabilityRequiredImmediately,Portability Required Immediately,Term that indicates data should be ported or made available immediately without delay,ieee-7012:PortabilityRequired,"ieee-7012:PortabilityTerm,dpv:Obligation",,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
PortabilityRequiredOnRequest,Portability Required On Request,Term that indicates data should be ported or made available on request,ieee-7012:PortabilityRequired,"ieee-7012:PortabilityTerm,dpv:Obligation",,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
PortabilityToThirdParty,Portability To Third Party,Term that indicates data should be ported or made available to third party,ieee-7012:PortabilityRequired,"ieee-7012:PortabilityTerm,dpv:Obligation",,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
PortabilityNotRequired,Portability Not Required,Term that indicates data portability is not required to be provided,,"ieee-7012:PortabilityTerm,dpv:Obligation",,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
TransparencyTerm,Transparency Term,Term that indicates transparency as an obligation,dpv:ContractualClause,sc,,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
TransparencyRequired,Transparency Required,Term that indicates transparency is obligated,,"ieee-7012:TransparencyTerm,dpv:Obligation",,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
TransparencyExAnte,Transparency Ex Ante,Term that indicates transparency is obligated ahead of intended process i.e. ex-ante transparency,ieee-7012:TransparencyRequired,"ieee-7012:TransparencyTerm,dpv:Obligation",,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
TransparencyExPost,Transparency Ex Post,Term that indicates transparency is obligated after intended process i.e. ex-post transparency,ieee-7012:TransparencyRequired,"ieee-7012:TransparencyTerm,dpv:Obligation",,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
TransparencyOnRequest,Transparency On Request,Term that indicates transparency is obligated upon request,ieee-7012:TransparencyRequired,"ieee-7012:TransparencyTerm,dpv:Obligation",,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
TransparencyNotRequired,Transparency Not Required,Term that indicates transparency is not required to be provided,ieee-7012:TransparencyRequired,ieee-7012:TransparencyTerm,,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
PurposeTransparencyTerm,Purpose Transparency Term,Term that indicates transparency regarding purposes involved for processing of data and technologies as an obligation,ieee-7012:TransparencyTerm,sc,,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
PurposeTransparencyRequired,Purpose Transparency Required,Term that indicates transparency regarding purposes is obligated,,"ieee-7012:PurposeTransparencyTerm,dpv:Obligation",,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
PurposeTransparencyExAnte,Purpose Transparency Ex Ante,Term that indicates transparency regarding purposes involved for processing of data and technologies is obligated ahead of intended process i.e. ex-ante transparency regarding purposes involved for processing of data and technologies,ieee-7012:PurposeTransparencyRequired,"ieee-7012:PurposeTransparencyTerm,dpv:Obligation",,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
PurposeTransparencyExPost,Purpose Transparency Ex Post,Term that indicates transparency regarding purposes involved for processing of data and technologies is obligated after intended process i.e. ex-post transparency regarding purposes involved for processing of data and technologies,ieee-7012:PurposeTransparencyRequired,"ieee-7012:PurposeTransparencyTerm,dpv:Obligation",,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
PurposeTransparencyOnRequest,Purpose Transparency On Request,Term that indicates transparency regarding purposes involved for processing of data and technologies is obligated upon request,ieee-7012:PurposeTransparencyRequired,"ieee-7012:PurposeTransparencyTerm,dpv:Obligation",,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
PurposeTransparencyNotRequired,Purpose Transparency Not Required,Term that indicates transparency regarding purposes involved for processing of data and technologies is not required to be provided,,ieee-7012:PurposeTransparencyTerm,,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
PartyTransparencyTerm,Party Transparency Term,Term that indicates transparency regarding identities and involvement of parties in specific roles as an obligation,ieee-7012:TransparencyTerm,sc,,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
PartyTransparencyRequired,Party Transparency Required,Term that indicates transparency regarding identities and involvement of parties in specific roles is obligated,,"ieee-7012:PartyTransparencyTerm,dpv:Obligation",,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
PartyTransparencyExAnte,Party Transparency Ex Ante,Term that indicates transparency regarding identities and involvement of parties in specific roles is obligated ahead of intended process i.e. ex-ante transparency regarding identities and involvement of parties in specific roles,ieee-7012:PartyTransparencyRequired,"ieee-7012:PartyTransparencyTerm,dpv:Obligation",,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
PartyTransparencyExPost,Party Transparency Ex Post,Term that indicates transparency regarding identities and involvement of parties in specific roles is obligated after intended process i.e. ex-post transparency regarding identities and involvement of parties in specific roles,ieee-7012:PartyTransparencyRequired,"ieee-7012:PartyTransparencyTerm,dpv:Obligation",,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
PartyTransparencyOnRequest,Party Transparency On Request,Term that indicates transparency regarding identities and involvement of parties in specific roles is obligated upon request,ieee-7012:PartyTransparencyRequired,"ieee-7012:PartyTransparencyTerm,dpv:Obligation",,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
PartyTransparencyNotRequired,Party Transparency Not Required,Term that indicates transparency regarding identities and involvement of parties in specific roles is not required to be provided,,ieee-7012:PartyTransparencyTerm,,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
DataTransparencyTerm,Data Transparency Term,Term that indicates transparency regarding data involved and its source as an obligation,ieee-7012:TransparencyTerm,sc,,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
DataTransparencyRequired,Data Transparency Required,Term that indicates transparency regarding data involved and its source is obligated,,"ieee-7012:DataTransparencyTerm,dpv:Obligation",,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
DataTransparencyExAnte,Data Transparency Ex Ante,Term that indicates transparency regarding data involved and its source is obligated ahead of intended process i.e. ex-ante transparency regarding data involved and its source,ieee-7012:DataTransparencyRequired,"ieee-7012:DataTransparencyTerm,dpv:Obligation",,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
DataTransparencyExPost,Data Transparency Ex Post,Term that indicates transparency regarding data involved and its source is obligated after intended process i.e. ex-post transparency regarding data involved and its source,ieee-7012:DataTransparencyRequired,"ieee-7012:DataTransparencyTerm,dpv:Obligation",,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
DataTransparencyOnRequest,Data Transparency On Request,Term that indicates transparency regarding data involved and its source is obligated upon request,ieee-7012:DataTransparencyRequired,"ieee-7012:DataTransparencyTerm,dpv:Obligation",,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
DataTransparencyNotRequired,Data Transparency Not Required,Term that indicates transparency regarding data involved and its source is not required to be provided,,ieee-7012:DataTransparencyTerm,,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
DataDeletionTerm,Data Deletion Term,Term that indicates deletion regarding data as an obligation,dpv:ContractualClause,sc,,,,,,,2025-04-09,,accepted,,,,,,,,,,,,,,,,,
DataDeletionRequired,Data Deletion Required,Term that indicates deletion of data is required after all associated (approved) processing is completed,,"ieee-7012:DataDeletionTerm,dpv:Obligation",,,,,,,2025-04-09,,accepted,,,,,,,,,,,,,,,,,
DataDeletionOnRequest,Data Deletion on Request,Term that indicates deletion of data is required upon request,,"ieee-7012:DataDeletionTerm,dpv:Obligation",,,,,,,2025-04-09,,accepted,,,,,,,,,,,,,,,,,
DataDeletionNotRequired,Data Deletion Not Required,Term that indicates deletion of data is not required as an obligation,,ieee-7012:DataDeletionTerm,,,,,,,2025-04-09,,accepted,,,,,,,,,,,,,,,,,
