Term,Label,Definition,ParentTerm,ParentType,Value,RelatedTerms,Relation,Usage,Source,Created,Modified,Status,Contributors,Resolution
ContractStatus,Contract Status,Status associated with a contract,dpv:Status,sc,,,,,,2024-08-27,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,
ContractActive,Contract Active,Status representing contract that has been fully executed and whose terms are considered active i.e. they are applicable and are required to be performed,,dpv:ContractActivationStatus,,,,"A contract being active only refers to its terms now being required to be fulfilled, while dpv:ContractBeingPerformed states that they are being performed",,2025-01-09,,accepted,"Harshvardhan J. Pandit, Georg P. Krog, Julian Flake",,,,,,,,,,,,,,,
ContractInactive,Contract Inactive,Status representing contract that has been fully executed and whose terms are not yet active i.e. they need to be performed at a later time,,dpv:ContractActivationStatus,,,,"An example of an inactive contract is where its terms need to be fulfilled at a later date, at which point the contract will become active",,2025-01-09,,accepted,"Harshvardhan J. Pandit, Georg P. Krog, Julian Flake",,,,,,,,,,,,,,,
ContractPerformanceStatus,Contract Performance Status,Status associated with performance of a contract,dpv:ContractStatus,sc,,,,,,2025-01-09,,accepted,"Harshvardhan J. Pandit, Georg P. Krog, Julian Flake",,,,,,,,,,,,,,,
ContractBeingPerformed,Contract Being Performed,Status representing contract that has been fully executed and whose terms are being carried out i.e. the contract is being performed,,dpv:ContractPerformanceStatus,,,,,,2025-01-09,,accepted,"Harshvardhan J. Pandit, Georg P. Krog, Julian Flake",,,,,,,,,,,,,,,
ContractAmended,Contract Amended,Status representing contract that has been fully executed and whose terms have been amended through mutual agreement or other means such that the contract is still required to be performed,,dpv:ContractPerformanceStatus,,,,,,2025-01-09,,accepted,"Harshvardhan J. Pandit, Georg P. Krog, Julian Flake",,,,,,,,,,,,,,,
ContractTemporarilySuspended,Contract Temporarily Suspended,Status representing contract that has been temporarily suspended through mutual agreement or by some parties,,dpv:ContractPerformanceStatus,,,,,,2025-01-09,,accepted,"Harshvardhan J. Pandit, Georg P. Krog, Julian Flake",,,,,,,,,,,,,,,
ContractRenewed,Contract Renewed,Status representing contract being renewed with new duration and/or applicability where the contract has been fully executed in the past,,dpv:ContractPerformanceStatus,,,,,,2025-01-09,,accepted,"Harshvardhan J. Pandit, Georg P. Krog, Julian Flake",,,,,,,,,,,,,,,
ContractExtended,Contract Extended,Status representing the duration associated with a contract being extended through mutual agreement or by a party,,dpv:ContractTerminationStatus,,,,,,2025-01-09,,accepted,"Harshvardhan J. Pandit, Georg P. Krog, Julian Flake",,,,,,,,,,,,,,,
ContractTerminationStatus,Contract Termination Status,Status associated with termination of a contract,dpv:ContractStatus,sc,,,,,,2025-01-09,,accepted,"Harshvardhan J. Pandit, Georg P. Krog, Julian Flake",,,,,,,,,,,,,,,
ContractTerminated,Contract Terminated,Status representing contract being terminated by one or more parties,,dpv:ContractTerminationStatus,,,,,,2025-01-09,,accepted,"Harshvardhan J. Pandit, Georg P. Krog, Julian Flake",,,,,,,,,,,,,,,
ContractExpired,Contract Expired,"Status representing reaching the expiry defined in the contract, such as when the stated duration or the stated obligations have been completed",,dpv:ContractTerminationStatus,,,,,,2025-01-09,,accepted,"Harshvardhan J. Pandit, Georg P. Krog, Julian Flake",,,,,,,,,,,,,,,
ContractBreached,Contract Breached,Status representing contract being breached where its terms are not fulfilled or are violated with legal consequences,,dpv:ContractTerminationStatus,,,,,,2025-01-09,,accepted,"Harshvardhan J. Pandit, Georg P. Krog, Julian Flake",,,,,,,,,,,,,,,
ContractDisputed,Contract Disputed,Status representing contract being disputed where one or more parties have an issue regarding the interpretation and performance of the contract,,dpv:ContractTerminationStatus,,,,,,2025-01-09,,accepted,"Harshvardhan J. Pandit, Georg P. Krog, Julian Flake",,,,,,,,,,,,,,,
ContractFulfilmentStatus,Contract Fulfilment Status,Status associated with fulfilment of a contract,dpv:ContractStatus,sc,,,,,,2025-01-09,,accepted,"Harshvardhan J. Pandit, Georg P. Krog, Julian Flake",,,,,,,,,,,,,,,
ContractFulfilled,Contract Fulfilled,Status representing contract where all its terms have been fulfilled in a manner that does not constitute a violation or breach of the contract,,dpv:ContractFulfilmentStatus,,,,,,2025-01-09,2025-08-06,modified,"Harshvardhan J. Pandit, Georg P. Krog, Julian Flake, Arthit Suriyawongkul",
ContractPartiallyFulfilled,Contract Partially Fulfilled,"Status representing contract where some of its terms have been fulfilled, and others are yet to be fulfilled in a manner that does not constitute a violation or breach of the contract i.e. there is still time and opportunity to complete the terms",,dpv:ContractFulfilmentStatus,,,,,,2025-01-09,2025-08-06,modified,"Harshvardhan J. Pandit, Georg P. Krog, Julian Flake, Arthit Suriyawongkul",
ContractNotFulfilled,Contract Not Fulfilled,Status representing contract where none of its terms have been fulfilled in a manner that does not constitute a violation or breach of the contract i.e. there is still time and opportunity to complete the terms,,dpv:ContractFulfilmentStatus,,,,,,2025-01-09,2025-08-06,modified,"Harshvardhan J. Pandit, Georg P. Krog, Julian Flake, Arthit Suriyawongkul",
ContractViolated,Contract Violated,"Status representing contract where one or more terms have not been fulfilled or have been fulfilled, where either is considered a violation of the terms",,dpv:ContractFulfilmentStatus,,,,,,2025-01-09,,accepted,"Harshvardhan J. Pandit, Georg P. Krog, Julian Flake",,,,,,,,,,,,,,,
